id,phase,persona,surface,test,method,automation,evidence,threshold,blocking,owner
RA-REC-006,recovery,A,CLI,SIGINT then restart,shell,partial,recovery.json,clean bounded recovery,yes,reliability
RA-REC-007,recovery,A,Desktop,Quit removes all owned processes,computer-use+shell,manual,recovery.json,within product SLA,yes,desktop
RA-REC-008,recovery,A,Menu Bar,Sleep wake display sleep and relaunch,computer-use+shell,manual,recovery.json,item and refresh recover,yes,menubar
RA-REC-009,recovery,A,all,Stale cache and live corpus change,mixed,manual,recovery.json,no stale success claim,yes,correctness
RA-REC-010,recovery,A,all,No-data and unavailable-provider distinction,mixed,manual,recovery.json,no false empty result,yes,correctness
RA-RES-001,residue,both,all,Exactly one intended active install per surface,shell,partial,residue.csv,no duplicate path or process,yes,release
RA-RES-002,residue,both,all,Compatible history config restored and caches rebuilt,shell,partial,residue.csv,verified,yes,release
RA-RES-003,residue,both,all,Backups inert checksummed and documented,shell,partial,residue.csv,not on PATH or active,yes,release
RA-RES-004,residue,both,all,No mounted image installer helper or stale login item,shell,partial,residue.csv,none,yes,release
RA-REV-001,review,both,all,Independent finding reproduction and code review,review,manual,run.json,sign-off recorded,yes,quality
RA-REV-002,review,both,all,Affected-machine proof for environment-specific defect,external-test,manual,run.json,reporter evidence,conditional,quality
